univ,name,univLabel_en,univLabel_zh,inceptionYear,decade,longitude,latitude,province,macro_region
http://www.wikidata.org/entity/Q649882,Yunnan University,Yunnan University,雲南大學,1922.0,1920,102.709377,25.06064,Yunnan,Southwest
http://www.wikidata.org/entity/Q649895,Zhengzhou University,Zhengzhou University,郑州大学,1956.0,1950,113.529166666,34.809444444,Henan,Central
http://www.wikidata.org/entity/Q649906,Xidian University,Xidian University,西安电子科技大学,1931.0,1930,108.83588889,34.12338889,Shaanxi,Northwest
http://www.wikidata.org/entity/Q65058031,Xinjiang Institute of Technology,Xinjiang Institute of Technology,新疆理工学院,2002.0,2000,,,Xinjiang,Northwest
http://www.wikidata.org/entity/Q6540150,Liaoning Technical University,Liaoning Technical University,辽宁工程技术大学,1949.0,1940,121.65919,42.02086,Liaoning,Northeast
http://www.wikidata.org/entity/Q6540152,Liaoning University of International Business and Economics,Liaoning University of International Business and Economics,辽宁对外经贸学院,1998.0,1990,121.157869,38.817053,Liaoning,Northeast
http://www.wikidata.org/entity/Q6540153,Liaoning Shihua University,Liaoning Shihua University,辽宁石油化工大学,1950.0,1950,,,Liaoning,Northeast
http://www.wikidata.org/entity/Q6544465,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,中国科学院大学,1978.0,1970,116.244622222,39.907225,,
http://www.wikidata.org/entity/Q65583468,陕西老年大学,,陕西老年大学,,,108.936910819,34.260281353,Shaanxi,Northwest
http://www.wikidata.org/entity/Q6579566,Suzhou University of Science and Technology,Suzhou University of Science and Technology,苏州科技大学,1932.0,1930,120.565,31.3059,Jiangsu,East
http://www.wikidata.org/entity/Q662131,Hohai University,Hohai University,河海大学,1915.0,1910,118.75408056,32.05890556,Jiangsu,East
http://www.wikidata.org/entity/Q6674566,Longyan University,Longyan University,龙岩学院,1958.0,1950,117.019522,25.032222,Fujian,East
http://www.wikidata.org/entity/Q676139,Foshan University,Foshan University,佛山大学,1995.0,1990,113.09083333,23.02722222,Guangdong,South
http://www.wikidata.org/entity/Q6764493,Henan Polytechnic University,Henan Polytechnic University,河南理工大学,1909.0,1900,113.25984,35.19024,Henan,Central
http://www.wikidata.org/entity/Q6765953,Jiangxi University of Technology,Jiangxi University of Technology,江西科技学院,1994.0,1990,116.013333333,28.684166666,Jiangxi,East
http://www.wikidata.org/entity/Q683580,Nanjing University,Nanjing University,南京大学,1915.0,1910,118.775,32.05611,Jiangsu,East
http://www.wikidata.org/entity/Q6840044,Kashi University,Kashi University,喀什大学,1962.0,1960,,,Xinjiang,Northwest
http://www.wikidata.org/entity/Q6867765,Minjiang University,Minjiang University,闽江大学,2002.0,2000,119.169,26.0647,Fujian,East
http://www.wikidata.org/entity/Q6962480,Nanchang Hangkong University,Nanchang Hangkong University,南昌航空大学,1952.0,1950,,,Jiangxi,East
http://www.wikidata.org/entity/Q6963657,Nanjing Forestry University,Nanjing Forestry University,南京林业大学,1902.0,1900,118.81140556,32.08073889,Jiangsu,East
http://www.wikidata.org/entity/Q6963668,Nanjing Medical University,Nanjing Medical University,南京医科大学,1934.0,1930,118.76901389,32.04584167,Jiangsu,East
http://www.wikidata.org/entity/Q6963672,Nanjing Ninghai Middle School,Nanjing Ninghai Middle School,南京市宁海中学,1911.0,1910,,,Jiangsu,East
http://www.wikidata.org/entity/Q6963688,Nanjing University of Posts and Telecommunications,Nanjing University of Posts and Telecommunications,南京邮电大学,1942.0,1940,118.765,32.0805,Jiangsu,East
http://www.wikidata.org/entity/Q6963692,Nanjing University of Information Science and Technology,Nanjing University of Information Science and Technology,南京信息工程大学,1960.0,1960,118.72166667,32.20722222,Jiangsu,East
http://www.wikidata.org/entity/Q6963694,Nanjing University of the Arts,Nanjing University of the Arts,南京艺术学院,1952.0,1950,118.75027778,32.06694444,Jiangsu,East
http://www.wikidata.org/entity/Q6964345,Nantong University,Nantong University,南通大学,1912.0,1910,,,Jiangsu,East
http://www.wikidata.org/entity/Q6973890,National Judges College,National Judges College,国家法官学院,1997.0,1990,116.31232,39.83146,Beijing,North
http://www.wikidata.org/entity/Q7038662,NingboTech University,NingboTech University,浙大宁波理工学院,2001.0,2000,,,Zhejiang,East
http://www.wikidata.org/entity/Q7038668,Ningbo University of Technology,Ningbo University of Technology,宁波工程学院,1983.0,1980,121.5728,29.815,Zhejiang,East
http://www.wikidata.org/entity/Q7050669,Nordic Centre in Shanghai,Nordic Centre in Shanghai,复旦大学北欧中心,1995.0,1990,,,,
http://www.wikidata.org/entity/Q7054810,North China Electric Power University,North China Electric Power University,华北电力大学,1958.0,1950,116.3042,40.0887,Beijing,North
http://www.wikidata.org/entity/Q7054811,North China University of Science and Technology,North China University of Science and Technology,华北理工大学,1895.0,1890,,,Hebei,North
http://www.wikidata.org/entity/Q7054813,North China University of Technology,North China University of Technology,北方工业大学,1946.0,1940,116.20207,39.92773,Beijing,North
http://www.wikidata.org/entity/Q7057807,Northeast Agricultural University,Northeast Agricultural University,东北农业大学,1948.0,1940,126.72576,45.73547,Heilongjiang,Northeast
http://www.wikidata.org/entity/Q7057873,Northeast Electric Power University,Northeast Electric Power University,东北电力大学,1949.0,1940,126.49748,43.82098,Jilin,Northeast
http://www.wikidata.org/entity/Q7060264,Northwest Minzu University,Northwest Minzu University,西北民族大学,1950.0,1950,103.816793055,36.044166111,Gansu,Northwest
http://www.wikidata.org/entity/Q7060266,Northwest University of Politics and Law,Northwest University of Politics and Law,西北政法大学,1937.0,1930,,,Shaanxi,Northwest
http://www.wikidata.org/entity/Q70683263,Shandong Transport Vocational College,Shandong Transport Vocational College,山东交通职业学院,,,,,,
http://www.wikidata.org/entity/Q7076042,Ocean Park Conservation Foundation Hong Kong,Ocean Park Conservation Foundation Hong Kong,香港海洋公園保育基金,2005.0,2000,114.176243,22.247257,,
http://www.wikidata.org/entity/Q7161056,Peking University Founder Technology College,Peking University Founder Technology College,,2002.0,2000,,,,
http://www.wikidata.org/entity/Q716822,Guangdong University of Technology,Guangdong University of Technology,广东工业大学,1958.0,1950,113.391671,23.035921,Guangdong,South
http://www.wikidata.org/entity/Q7178850,Harbin Military Institute,Harbin Military Institute,中国人民解放军军事工程学院,1953.0,1950,,,Heilongjiang,Northeast
http://www.wikidata.org/entity/Q718332,Yanbian University,Yanbian University,延边大学,1949.0,1940,129.485,42.9081,Jilin,Northeast
http://www.wikidata.org/entity/Q7192377,Hong Kong College of Technology,Hong Kong College of Technology,香港專業進修學校,1957.0,1950,114.178976,22.319406,,
http://www.wikidata.org/entity/Q7195772,Pingdingshan University,Pingdingshan University,平顶山学院,1977.0,1970,113.2098,33.7467,Henan,Central
http://www.wikidata.org/entity/Q7262282,Putian University,Putian University,莆田学院,2002.0,2000,119.00584,25.44643,Fujian,East
http://www.wikidata.org/entity/Q7267798,Qingdao Agricultural University,Qingdao Agricultural University,青岛农业大学,1951.0,1950,120.3913,36.3188,Shandong,East
http://www.wikidata.org/entity/Q7267800,Qingdao Binhai University,Qingdao Binhai University,青岛滨海学院,1992.0,1990,,,Shandong,East
http://www.wikidata.org/entity/Q7267825,Qinghai Normal University,Qinghai Normal University,青海师范大学,1956.0,1950,101.739811111,36.639319444,Qinghai,Northwest
http://www.wikidata.org/entity/Q7267826,Qinghai University,Qinghai University,青海大学,1958.0,1950,,,Qinghai,Northwest
http://www.wikidata.org/entity/Q7267828,Qinghai University for Nationalities,Qinghai University for Nationalities,青海民族大学,1949.0,1940,101.825516666,36.587802777,Qinghai,Northwest
http://www.wikidata.org/entity/Q7267904,Hainan Tropical Ocean University,Hainan Tropical Ocean University,海南热带海洋学院,1977.0,1970,109.5354,18.3084,Hainan,South
http://www.wikidata.org/entity/Q7267905,Qiqihar Medical University,Qiqihar Medical University,齐齐哈尔医学院,1946.0,1940,,,Heilongjiang,Northeast
http://www.wikidata.org/entity/Q7267907,Qiqihar University,Qiqihar University,齐齐哈尔大学,1952.0,1950,,,Heilongjiang,Northeast
http://www.wikidata.org/entity/Q7269117,Quanzhou Normal University,Quanzhou Normal University,泉州师范学院,1958.0,1950,118.667428,24.865656,Fujian,East
http://www.wikidata.org/entity/Q7388289,S3 Asia MBA,S3 Asia MBA,,2006.0,2000,,,,
http://www.wikidata.org/entity/Q7390268,Sias University,Sias University,郑州西亚斯学院,1998.0,1990,113.433333333,34.233333333,Henan,Central
http://www.wikidata.org/entity/Q7415930,Sanda University,Sanda University,上海杉达学院,1992.0,1990,,,,
http://www.wikidata.org/entity/Q7418549,Sanjiang University,Sanjiang University,三江学院,1992.0,1990,,,Jiangsu,East
http://www.wikidata.org/entity/Q7443422,Naval Medical University,Naval Medical University,中国人民解放军海军军医大学,1949.0,1940,121.5212,31.308,,
http://www.wikidata.org/entity/Q7459940,Shaanxi University of Chinese Medicine,Shaanxi University of Chinese Medicine,陕西中医药大学,1952.0,1950,108.741388888,34.318055555,Shaanxi,Northwest
http://www.wikidata.org/entity/Q7459941,Shaanxi University of Science and Technology,Shaanxi University of Science and Technology,陕西科技大学,1958.0,1950,108.978519,34.381158,Shaanxi,Northwest
http://www.wikidata.org/entity/Q7487918,Shandong Agricultural University,Shandong Agricultural University,山东农业大学,1906.0,1900,,,Shandong,East
http://www.wikidata.org/entity/Q7487925,Shandong Vocational and Technical University of International Studies,Shandong Vocational and Technical University of International Studies,山东外国语职业技术大学,2005.0,2000,,,Shandong,East
http://www.wikidata.org/entity/Q7487930,Shandong Jianzhu University,Shandong Jianzhu University,山东建筑大学,1956.0,1950,117.17916667,36.67666667,Shandong,East
http://www.wikidata.org/entity/Q7487933,Shandong University of Finance and Economics,Shandong University of Finance and Economics,山东财经大学,1952.0,1950,117.077115516,36.643421559,Shandong,East
http://www.wikidata.org/entity/Q7487936,Shandong University of Science and Technology,Shandong University of Science and Technology,山东科技大学,1951.0,1950,120.125,36.00083333,Shandong,East
http://www.wikidata.org/entity/Q7487937,Shandong University of Technology,Shandong University of Technology,山东理工大学,1956.0,1950,117.995,36.81055556,Shandong,East
http://www.wikidata.org/entity/Q7488406,Shanghai Business School,Shanghai Business School,上海商学院,1950.0,1950,,,,
http://www.wikidata.org/entity/Q7488443,Shanghai Finance University,Shanghai Finance University,上海金融学院,1952.0,1950,,,Shanghai,East
http://www.wikidata.org/entity/Q7488457,Shanghai Institute of Visual Art,Shanghai Institute of Visual Art,上海视觉艺术学院,2005.0,2000,121.202,31.048,,
http://www.wikidata.org/entity/Q7488458,Shanghai University of Sport,Shanghai University of Sport,上海体育大学,1952.0,1950,,,,
http://www.wikidata.org/entity/Q7488476,Shanghai Lixin University of Accounting and Finance,Shanghai Lixin University of Accounting and Finance,上海立信会计学院,1952.0,1950,,,Jilin,Northeast
http://www.wikidata.org/entity/Q7488484,Shanghai Open University,Shanghai Open University,上海开放大学,1960.0,1960,,,,
http://www.wikidata.org/entity/Q7488485,Shanghai Ocean University,Shanghai Ocean University,上海海洋大學,1912.0,1910,121.892777777,30.885833333,,
http://www.wikidata.org/entity/Q7488523,Shanghai Theatre Academy,Shanghai Theatre Academy,上海戏剧学院,1945.0,1940,121.435,31.219,,
http://www.wikidata.org/entity/Q7488528,Shanghai University of Electric Power,Shanghai University of Electric Power,上海电力大学,1951.0,1950,,,,
http://www.wikidata.org/entity/Q7488529,Shanghai University of Political Science and Law,Shanghai University of Political Science and Law,上海政法学院,1984.0,1980,,,,
http://www.wikidata.org/entity/Q7488530,Shanghai University of Science and Technology,Shanghai University of Science and Technology,上海科学技术大学,1958.0,1950,,,,
http://www.wikidata.org/entity/Q7488534,Shanghai University of Technology,Shanghai University of Technology,上海工业大学,1960.0,1960,,,,
http://www.wikidata.org/entity/Q7488566,Shangqiu Normal University,Shangqiu Normal University,商丘师范学院,2000.0,2000,,,Henan,Central
http://www.wikidata.org/entity/Q7489115,Shanxi College of Traditional Chinese Medicine,Shanxi College of Traditional Chinese Medicine,山西中医学院,1952.0,1950,,,Shanxi,North
http://www.wikidata.org/entity/Q7489125,Shanxi Normal University,Shanxi Normal University,山西师范大学,1958.0,1950,112.656988888,37.742927777,Shanxi,North
http://www.wikidata.org/entity/Q7489128,Shanxi University,Shanxi University,山西大学,1902.0,1900,112.582102777,37.7968,Shanxi,North
http://www.wikidata.org/entity/Q7489192,Shaoxing University,Shaoxing University,绍兴大学,1996.0,1990,,,Zhejiang,East
http://www.wikidata.org/entity/Q7494261,"Shengda Economics, Trade and Management College of Zhengzhou","Shengda Economics, Trade and Management College of Zhengzhou",郑州升达经贸管理学院,1993.0,1990,,,Henan,Central
http://www.wikidata.org/entity/Q7494336,Shenyang Aerospace University,Shenyang Aerospace University,沈阳航空航天大学,1952.0,1950,,,Liaoning,Northeast
http://www.wikidata.org/entity/Q7494338,Shenyang Agricultural University,Shenyang Agricultural University,沈阳农业大学,,,123.560526,41.822313,Liaoning,Northeast
http://www.wikidata.org/entity/Q7494347,Shenyang University of Chemical Technology,Shenyang University of Chemical Technology,沈阳化工大学,,,123.23304,41.743269,Liaoning,Northeast
http://www.wikidata.org/entity/Q7494351,Shenyang Medical College,Shenyang Medical College,沈阳医学院,1949.0,1940,,,Liaoning,Northeast
http://www.wikidata.org/entity/Q7494352,Shenyang Jianzhu University,Shenyang Jianzhu University,沈阳建筑大学,1948.0,1940,,,Liaoning,Northeast
http://www.wikidata.org/entity/Q7494353,Shenyang Normal University,Shenyang Normal University,沈阳师范大学,1951.0,1950,,,Liaoning,Northeast
http://www.wikidata.org/entity/Q7494354,Shenyang Pharmaceutical University,Shenyang Pharmaceutical University,沈阳药科大学,1931.0,1930,123.44611111,41.76944444,Liaoning,Northeast
http://www.wikidata.org/entity/Q7494374,Shenzhen Institute of Information Technology,Shenzhen Institute of Information Technology,深圳信息职业技术大学,2002.0,2000,,,Guangdong,South
http://www.wikidata.org/entity/Q7494379,Shenzhen Radio and TV University,Shenzhen Radio and TV University,深圳开放大学,,,,,Guangdong,South
http://www.wikidata.org/entity/Q7494381,Shenzhen Polytechnic University,Shenzhen Polytechnic University,深圳职业技术大学,1993.0,1990,113.9465,22.5913,Guangdong,South
http://www.wikidata.org/entity/Q7496504,Shijiazhuang Tiedao University,Shijiazhuang Tiedao University,石家庄铁道大学,1950.0,1950,114.501666666,38.082805555,Hebei,North
http://www.wikidata.org/entity/Q7496506,Shijiazhuang University,Shijiazhuang University,石家庄学院,1956.0,1950,,,Hebei,North
http://www.wikidata.org/entity/Q7507436,Sichuan University of Science and Engineering,Sichuan University of Science and Engineering,四川轻化工大学,1965.0,1960,,,Sichuan,Southwest
http://www.wikidata.org/entity/Q7507438,Sichuan Normal University,Sichuan Normal University,四川师范大学,1946.0,1940,104.12063,30.6127,Sichuan,Southwest
http://www.wikidata.org/entity/Q7566777,South Central Minzu University,South Central Minzu University,中南民族大学,1951.0,1950,,,Hubei,Central
http://www.wikidata.org/entity/Q7566809,South China Agricultural University,South China Agricultural University,华南农业大学,1909.0,1900,113.348194444,23.158222222,Guangdong,South
http://www.wikidata.org/entity/Q7568723,Southern University of Science and Technology,Southern University of Science and Technology,南方科技大学,2009.0,2000,113.994722222,22.600555555,Guangdong,South
http://www.wikidata.org/entity/Q7569406,Southeast University School of Architecture,Southeast University School of Architecture,东南大学建筑学院,1927.0,1920,118.795357084,32.054387441,Jiangsu,East
http://www.wikidata.org/entity/Q7571204,Southwest Agricultural University,Southwest Agricultural University,西南农业大学,1950.0,1950,106.278823,30.013536,,
